"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Adcyap14",2.64957396042986e-42,4.29642119232397,1,0.135,2.56717221026049e-38,"18","Adcyap1"
"Pou3f13",1.77521774660373e-39,4.00676237532306,0.957,0.127,1.72000847468435e-35,"18","Pou3f1"
"Rprm3",6.05444200831258e-37,3.89965312646373,0.913,0.118,5.86614886185405e-33,"18","Rprm"
"Cbln25",9.46397620883445e-35,4.13255329895029,1,0.176,9.1696465487397e-31,"18","Cbln2"
"Rec114",4.27103199641131e-34,4.24562428124415,0.478,0.032,4.13820290132292e-30,"18","Rec114"
"Pld51",5.67262991330363e-33,3.18978629878715,0.826,0.095,5.49621112299989e-29,"18","Pld5"
"Trim542",1.19011954051416e-30,3.22758337336718,0.739,0.082,1.15310682280417e-26,"18","Trim54"
"Cnr1",3.0890060612499e-28,3.40661311518362,0.696,0.08,2.99293797274503e-24,"18","Cnr1"
"Lrrc552",2.83383101135837e-26,2.62718843352354,0.913,0.158,2.74569886690513e-22,"18","Lrrc55"
"C1ql1",4.15843011537365e-26,3.42939573803746,0.87,0.151,4.02910293878553e-22,"18","C1ql1"
"Mn15",1.34615104606253e-25,3.1923193957642,0.957,0.197,1.30428574852999e-21,"18","Mn1"
"Cd442",3.48174000744359e-24,2.80221715159102,0.783,0.112,3.3734578932121e-20,"18","Cd44"
"Synpr6",9.7867330421188e-24,4.35296146318043,1,0.318,9.48236564450891e-20,"18","Synpr"
"Rtn4rl25",1.58891999561704e-23,3.02740183379741,0.87,0.158,1.53950458375335e-19,"18","Rtn4rl2"
"Hs6st26",2.77487692077418e-23,3.53052934120538,0.957,0.253,2.68857824853811e-19,"18","Hs6st2"
"Lmo3",9.52941932494559e-22,4.04078086359861,0.304,0.02,9.23305438393979e-18,"18","Lmo3"
